lingua Latina	Italiano	español	français	English	日本語
-phorus	-foro	-foro	-phore	-phore, -phor	
abacus	credenza	aparador	buffet	sideboard	
abambulo	partire, andare via, mettere le ali	partir, salir, irse, marcharse	partir, mettre les voiles, se casser, se barrer, s'en aller	depart, exit, leave, quit, go away	出発, 去る
Abascia	Abkhazia, Abcasia	Abjasia	Abkhazie	Abkhazia	アブハジア
Abasgia	Abkhazia, Abcasia	Abjasia	Abkhazie	Abkhazia	アブハジア
Abasgorum Terra	Abkhazia, Abcasia	Abjasia	Abkhazie	Abkhazia	アブハジア
abbreviātiō	abbreviazione	abreviatura, abreviación	abréviation	abbreviation	省略, 省略語
abbātiālis	abbaziale	abacial, abadengo	abbatial	abbatial	
abdomen	pancia, addome	vientre, barriga, abdomen	ventre, abdomen, bedon, estomac, bide, brioche, panse	belly, abdomen, stomach, venter	腹, 腹部
abecedaria	abc, abbiccì, basi, fondamenti, rudimenti	abecedario, base, fundamento, rudimento, bases, fundamentos, rudimentos, bases, fundamentos, rudimentos	rudiments, bases, A B C, ABC, abécé, abécédé, abc, b.-a.-ba, b.a. ba, B-A BA, b-a-ba, b-a ba, B.A.-BA	rudiments, basics, fundamentals, ABC	いろは
abecedarium	alfabeto	alfabeto, abecé, abecedario	alphabet	alphabet	アルファベット
Abecedarium Glagoliticum	Alfabeto glagolitico	Alfabeto glagolítico, glagólico, glagólitsa	Alphabet glagolitique	Glagolitic alphabet	グラゴル文字
abeo	partire, andare via, mettere le ali	partir, salir, irse, marcharse	partir, mettre les voiles, se casser, se barrer, s'en aller	depart, exit, leave, quit, go away	出発, 去る
abies	abeti, abete	abeto	sapin	fir, fir tree	樅の木, モミ
ablacuare				ablaqueate	
ablaqueare				ablaqueate	
ablatio	ablazione	ablación	ablation	ablation	
ablativus	ablativo	ablativo	ablatif	ablative	奪格
abnegare	rinnegare	rehusar, rechazar, negar, renunciar, abjurar	désavouer, renier, abjurer	disavow, abjure, disclaim, disown, deny, reject, abnegate	
abnegatio	abnegazione	abnegación	abnégation	abnegation	
abnegativus		negante	niant	denying, abnegative	
abolere	abolire, sopprimere, eliminare	abolir, suprimir	abolir, supprimer	abolish, suppress, revoke, annul	
abrado	radere, radersi	afeitar, rapar, rasurar	raser	shave	そる
abrogare	abrogare, abolire	abrogar	abroger	abrogate, abolish	
abrogatio	abrogazione	abrogación	abrogation	abrogation	
abscindere	strappare	arrancar	arracher	tear off	
absolutio	assoluzione	absolución	acquittement	acquittal	
absolutivus	assolutivo, caso assolutivo	caso absolutivo	absolutif	Absolutive case, Absolutive, absolutive case, absolutive	
acceleratio	accelerazione; accelerazione	aceleración; aceleración	accélération; accélération	acceleration; acceleration	
accensus	banditore	subastador, subastadora		auctioneer	
accessus		aparición, manifestación	manifestation	onset	
accipere	ricevere	recibir	recevoir	receive	受け取る, 貰う, 受ける, もらう
accipiter	astore	azor	autour des palombes, épervier autour, autour commun, gros épervier, émouchet des pigeons, épervier bleu, aigle chasseur, gros ratier	goshawk, Northern goshawk	オオタカ
acer	agro, acido, aspro	agrio, agria, ácido	aigre	agrio, sour, acid, tart	すっぱい, 酸っぱい
acetabulum	cotile	acetábulo	acetabulum, cavité cotyloïde, cotyle	acetabulum	
acetum	aceto	vinagre	vinaigre	vinegar	酢
actinium	attinio	actinio	actinium	actinium	アクチニウム
actrix	attrice	actriz	actrice	actress	女優
ad hoc	ad hoc	ad hoc	ad hoc	ad hoc	臨時, このために
ad nauseam	fino alla nausea, ad oltranza	nauseabundo, al punto de saturación		ad nauseam	
addere	sommare	sumar, adicionar	summata, additionner, sommer	add, add together	足す
adhibeo	invitare	invitar, convidar	inviter	invite	誘う, 招待する, 招く, 請う
adiuvare	assistere, aiutare	ayudar, asistir, socorrer, auxiliar	assister, aider	assist, help, aid, chip in	手伝う, 助ける
adoptivus	adottivo	adoptivo	adoptif	adoptive	
adsorbere	adsorbire, assorbire, adsorbire	adsorber		adsorb	
adulescens	ragazzo	niño, chico, muchacho, joven, jovencito	garçon	boy	男の子
adulescentia	adolescenza	adolescencia	adolescence	adolescence, teenhood	
adulter	adultero; adultero	adúltero; adúltero, adulterino	adultère; adultère	adulterer; adulterous, adulterine	
adultera	adultera	adúltera	adultère	adulteress	
adulterium	adulterio	adulterio	adultère	adultery, advowtry, philandery	不倫, 姦通, 私通
Adventus	Avvento	Adviento	Avent	Advent	
adversarius	campione	campeón, campeona	champion	champion	チャンピオン, 優勝者
aedicula	edicola	edículo	édicule	aedicula	エディクラ
aedificium	edificio, edilizia, costruzione, fabbricato, stabile, locale	edificación, edificio	bâtiment, édifice	building	建物, ビル
aeger	malato, ammalato	malo, enfermo, mala, enferma	malade	ill, sick	病気
aegis	egida, protezione, auspicio	auspicio, protección, égida	auspices, patronage, protection	aegis, auspices, protection	催し
aegrescō	ammalarsi	caer enfermo, enfermar	tomber malade	get sick, sicken	
Aequatoria	Ecuador	Ecuador	Équateur	Ecuador, Republic of Ecuador	エクアドル
aer	aria	aire	air	air	空気, エア, 天空
aeroplanum	aeroplano, aereo, aeromobile	avión, aeroplano	avion, aéroplane	aeroplane, plane, bird, fixed-wing aircraft	飛行機, 航空機
aeruginosus	arrugginito	oxidado, herrumbroso	rouillé	rusty	さびる
aestas	estate	verano	été	summer	夏
aetas	età	edad	âge	age	年齢
Aethiopia	Etiopia	Etiopía	Éthiopie	Ethiopia, Federal Democratic Republic of Ethiopia	エチオピア
Aevum praehistoricum	preistoria	prehistoria	préhistoire	Prehistory	先史時代
Africa	Africa	Africa, África	Afrique, continent noir	Africa	アフリカ, 阿弗利加
ager	tenuta agricola, fattoria, masseria	explotación agrícola, granja, fundo	ferme (exploitation), ferme	farm	農場
Agios O Theos	Trisagion, Trisagion angelico	trisagio	trisagion, hymne chérubique, chérubique	trisagion, Trisagion	
agnellus	agnello	cordero	agneau	lamb, lambkin	子羊, 小羊, ラム
agnus	agnello	cordero	agneau	lamb, lambkin	子羊, 小羊, ラム
agoraphobia	agorafobia, agorafobia, agorafobia	agorafobia, agorafobia, agorafobia	agoraphobie, agoraphobie, agoraphobie	agoraphobia, agoraphobia, agoraphobia, agoraphobia, agoraphobia	広場恐怖, 広場恐怖, 広場恐怖
agricola	contadino, agricoltore, coltivatore	agrario, agricultor, agricultora, granjero, granjera, campesino, campesina	agriculteur, cultivateur, paysan, fermier	agrarian, farmer, agriculturer	農家
agricultura	agricoltura, agricoltura	agr, agricultura, agricultura	agriculture, agriculture	agriculture, agriculture	農業, 農業
alatus	alato	alado	ailé	winged, alate, aliferous	
Albis	Elba	Elba	Elbe	Elbe	エルベ川
albus	bianco; bianco	blanco, blanca; blanco, blanca	blanc; blanc	white; white	白い, 白; 白い
alces	alce	alce	élan, orignal, orignal	moose, elk	ヘラジカ, 箆鹿
alcēs	alce	alce	élan, orignal, orignal	moose, elk	ヘラジカ, 箆鹿
Algeria	Algeri	Argel	Alger, La Blanche	Algiers	アルジェ
